"Label (Grouping)","Antioch city, California!!Estimate","Antioch city, California!!Margin of Error","Antioch city, California!!Percent","Antioch city, California!!Percent Margin of Error","Concord city, California!!Estimate","Concord city, California!!Margin of Error","Concord city, California!!Percent","Concord city, California!!Percent Margin of Error","Pittsburg city, California!!Estimate","Pittsburg city, California!!Margin of Error","Pittsburg city, California!!Percent","Pittsburg city, California!!Percent Margin of Error","Richmond city, California!!Estimate","Richmond city, California!!Margin of Error","Richmond city, California!!Percent","Richmond city, California!!Percent Margin of Error","San Ramon city, California!!Estimate","San Ramon city, California!!Margin of Error","San Ramon city, California!!Percent","San Ramon city, California!!Percent Margin of Error","Walnut Creek city, California!!Estimate","Walnut Creek city, California!!Margin of Error","Walnut Creek city, California!!Percent","Walnut Creek city, California!!Percent Margin of Error"
"                With health insurance coverage","3,674","±1,284","86.4%","±11.5","3,518","±1,126","91.3%","±9.5","3,053","±995","69.3%","±14.4","4,754","±1,482","88.8%","±8.4","1,583","±519","100.0%","±11.7","777","±445","92.8%","±10.0"
"                    With private health insurance","2,078","±959","48.8%","±18.1","1,923","±765","49.9%","±15.6","1,168","±665","26.5%","±12.5","2,037","±775","38.1%","±14.6","1,306","±494","82.5%","±12.8","588","±427","70.3%","±26.0"
"                    With public coverage","1,826","±956","42.9%","±16.4","1,667","±855","43.2%","±15.3","2,190","±723","49.7%","±13.3","3,170","±1,355","59.2%","±13.0","277","±212","17.5%","±12.8","189","±183","22.6%","±23.2"
"                No health insurance coverage","580","±530","13.6%","±11.5","337","±388","8.7%","±9.5","1,353","±777","30.7%","±14.4","599","±494","11.2%","±8.4","0","±218","0.0%","±11.7","60","±81","7.2%","±10.0"
"        Not in labor force:","16,141","±2,238","16,141","(X)","16,019","±1,950","16,019","(X)","9,934","±1,812","9,934","(X)","14,146","±2,177","14,146","(X)","9,260","±1,308","9,260","(X)","6,425","±1,280","6,425","(X)"
"            With health insurance coverage","14,395","±2,122","89.2%","±4.2","14,541","±1,848","90.8%","±4.7","9,030","±1,675","90.9%","±5.0","12,295","±2,057","86.9%","±6.2","9,085","±1,278","98.1%","±2.0","6,334","±1,269","98.6%","±1.7"
"                With private health insurance","7,173","±1,796","44.4%","±7.5","7,970","±1,516","49.8%","±8.1","3,036","±1,019","30.6%","±8.9","4,941","±1,012","34.9%","±7.3","8,204","±1,227","88.6%","±6.8","5,058","±1,183","78.7%","±11.7"
"                With public coverage","8,619","±1,606","53.4%","±6.9","7,591","±1,555","47.4%","±7.9","6,434","±1,462","64.8%","±8.6","7,900","±1,943","55.8%","±8.3","998","±594","10.8%","±6.1","1,607","±847","25.0%","±11.6"
"            No health insurance coverage","1,746","±735","10.8%","±4.2","1,478","±779","9.2%","±4.7","904","±526","9.1%","±5.0","1,851","±911","13.1%","±6.2","175","±191","1.9%","±2.0","91","±109","1.4%","±1.7"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","(X)","(X)","10.7%","±4.1","(X)","(X)","6.6%","±2.5","(X)","(X)","8.3%","±3.5","(X)","(X)","10.9%","±3.3","(X)","(X)","2.8%","±1.8","(X)","(X)","7.0%","±4.4"
"        With related children of the householder under 18 years","(X)","(X)","16.8%","±6.5","(X)","(X)","12.4%","±4.7","(X)","(X)","9.4%","±5.8","(X)","(X)","19.4%","±6.1","(X)","(X)","3.5%","±2.6","(X)","(X)","11.3%","±8.9"
"            With related children of the householder under 5 years only","(X)","(X)","0.0%","±13.0","(X)","(X)","0.0%","±7.5","(X)","(X)","19.5%","±19.5","(X)","(X)","19.6%","±18.8","(X)","(X)","4.0%","±6.8","(X)","(X)","7.3%","±8.2"
"        Married couple families","(X)","(X)","4.7%","±3.2","(X)","(X)","7.0%","±3.1","(X)","(X)","6.4%","±4.0","(X)","(X)","4.9%","±3.3","(X)","(X)","2.0%","±1.4","(X)","(X)","4.0%","±2.7"
"            With related children of the householder under 18 years","(X)","(X)","5.7%","±4.6","(X)","(X)","13.1%","±6.4","(X)","(X)","8.7%","±6.8","(X)","(X)","11.3%","±7.3","(X)","(X)","2.5%","±1.9","(X)","(X)","5.0%","±4.6"
"                With related children of the householder under 5 years only","(X)","(X)","0.0%","±14.4","(X)","(X)","0.0%","±10.7","(X)","(X)","17.4%","±22.2","(X)","(X)","18.4%","±24.0","(X)","(X)","4.4%","±7.6","(X)","(X)","3.7%","±6.1"
"        Families with female householder, no spouse present","(X)","(X)","24.1%","±11.5","(X)","(X)","6.3%","±4.6","(X)","(X)","13.3%","±10.6","(X)","(X)","24.9%","±8.6","(X)","(X)","10.7%","±12.2","(X)","(X)","14.2%","±10.2"
"            With related children of the householder under 18 years","(X)","(X)","33.1%","±16.9","(X)","(X)","14.0%","±9.7","(X)","(X)","14.9%","±19.6","(X)","(X)","34.4%","±13.5","(X)","(X)","15.1%","±19.9","(X)","(X)","16.2%","±19.1"
"                With related children of the householder under 5 years only","(X)","(X)","0.0%","±59.7","(X)","(X)","0.0%","±28.9","(X)","(X)","37.5%","±54.0","(X)","(X)","36.9%","±44.7","(X)","(X)","0.0%","±100.0","(X)","(X)","100.0%","±90.7"
"    All people","(X)","(X)","12.9%","±3.5","(X)","(X)","11.0%","±3.3","(X)","(X)","9.6%","±2.9","(X)","(X)","15.4%","±4.1","(X)","(X)","3.4%","±1.6","(X)","(X)","8.1%","±3.2"
"        Under 18 years","(X)","(X)","19.9%","±7.4","(X)","(X)","20.1%","±7.9","(X)","(X)","8.7%","±5.0","(X)","(X)","29.1%","±8.6","(X)","(X)","3.4%","±2.5","(X)","(X)","10.0%","±7.1"
"            Related children of the householder under 18 years","(X)","(X)","19.9%","±7.4","(X)","(X)","20.0%","±7.9","(X)","(X)","8.7%","±5.0","(X)","(X)","28.4%","±8.6","(X)","(X)","3.4%","±2.5","(X)","(X)","10.0%","±7.1"
"                Related children of the householder under 5 years","(X)","(X)","14.4%","±8.9","(X)","(X)","22.2%","±11.9","(X)","(X)","13.4%","±11.7","(X)","(X)","38.8%","±12.8","(X)","(X)","7.4%","±5.9","(X)","(X)","5.0%","±5.2"
"                Related children of the householder 5 to 17 years","(X)","(X)","21.9%","±7.9","(X)","(X)","19.0%","±8.1","(X)","(X)","6.8%","±5.0","(X)","(X)","24.4%","±8.3","(X)","(X)","2.5%","±2.0","(X)","(X)","12.1%","±9.9"
"        18 years and over","(X)","(X)","10.6%","±2.7","(X)","(X)","8.7%","±2.5","(X)","(X)","9.8%","±2.9","(X)","(X)","11.5%","±3.2","(X)","(X)","3.4%","±1.4","(X)","(X)","7.6%","±2.8"
"            18 to 64 years","(X)","(X)","11.1%","±3.1","(X)","(X)","9.1%","±2.9","(X)","(X)","10.1%","±3.0","(X)","(X)","12.8%","±3.8","(X)","(X)","2.8%","±1.6","(X)","(X)","8.0%","±3.5"
"            65 years and over","(X)","(X)","8.3%","±5.8","(X)","(X)","7.2%","±3.3","(X)","(X)","8.2%","±4.5","(X)","(X)","6.4%","±3.3","(X)","(X)","6.1%","±4.2","(X)","(X)","6.8%","±4.3"
"        People in families","(X)","(X)","10.6%","±3.8","(X)","(X)","9.0%","±3.6","(X)","(X)","6.6%","±3.0","(X)","(X)","14.4%","±4.5","(X)","(X)","2.6%","±1.6","(X)","(X)","6.6%","±3.8"
"        Unrelated individuals 15 years and over","(X)","(X)","27.7%","±7.8","(X)","(X)","18.9%","±6.1","(X)","(X)","26.8%","±7.4","(X)","(X)","20.6%","±6.0","(X)","(X)","10.6%","±6.6","(X)","(X)","13.2%","±5.6"
