"Label (Grouping)","Corte Madera town; California!!Total population!!Estimate","Corte Madera town; California!!Total population!!Margin of Error","Corte Madera town; California!!Total population!!Percent","Corte Madera town; California!!Total population!!Percent Margin of Error","Fairfax town; California!!Total population!!Estimate","Fairfax town; California!!Total population!!Margin of Error","Fairfax town; California!!Total population!!Percent","Fairfax town; California!!Total population!!Percent Margin of Error","Larkspur city; California!!Total population!!Estimate","Larkspur city; California!!Total population!!Margin of Error","Larkspur city; California!!Total population!!Percent","Larkspur city; California!!Total population!!Percent Margin of Error","Mill Valley city; California!!Total population!!Estimate","Mill Valley city; California!!Total population!!Margin of Error","Mill Valley city; California!!Total population!!Percent","Mill Valley city; California!!Total population!!Percent Margin of Error","Novato city; California!!Total population!!Estimate","Novato city; California!!Total population!!Margin of Error","Novato city; California!!Total population!!Percent","Novato city; California!!Total population!!Percent Margin of Error","San Anselmo town; California!!Total population!!Estimate","San Anselmo town; California!!Total population!!Margin of Error","San Anselmo town; California!!Total population!!Percent","San Anselmo town; California!!Total population!!Percent Margin of Error","San Rafael city; California!!Total population!!Estimate","San Rafael city; California!!Total population!!Margin of Error","San Rafael city; California!!Total population!!Percent","San Rafael city; California!!Total population!!Percent Margin of Error","Sausalito city; California!!Total population!!Estimate","Sausalito city; California!!Total population!!Margin of Error","Sausalito city; California!!Total population!!Percent","Sausalito city; California!!Total population!!Percent Margin of Error","Tiburon town; California!!Total population!!Estimate","Tiburon town; California!!Total population!!Margin of Error","Tiburon town; California!!Total population!!Percent","Tiburon town; California!!Total population!!Percent Margin of Error"
"        Same house","8,834","±345","88.9%","±3.1","6,627","±323","88.8%","±3.8","10,864","±428","84.6%","±3.2","12,371","±505","87.2%","±3.5","46,490","±1,100","88.3%","±2.1","11,395","±387","89.6%","±3.0","51,902","±1,085","85.6%","±1.7","6,051","±268","84.6%","±3.8","7,759","±445","85.4%","±4.8"
"        Different house (in the U.S. or abroad)","1,101","±308","11.1%","±3.1","834","±280","11.2%","±3.8","1,980","±415","15.4%","±3.2","1,823","±499","12.8%","±3.5","6,180","±1,082","11.7%","±2.1","1,318","±383","10.4%","±3.0","8,762","±1,001","14.4%","±1.7","1,101","±278","15.4%","±3.8","1,327","±437","14.6%","±4.8"
"            Different house in the U.S.","1,055","±308","10.6%","±3.1","754","±271","10.1%","±3.6","1,912","±399","14.9%","±3.1","1,719","±498","12.1%","±3.5","5,814","±1,061","11.0%","±2.0","1,303","±384","10.2%","±3.0","8,093","±1,011","13.3%","±1.7","1,038","±281","14.5%","±3.9","951","±315","10.5%","±3.5"
"                Same county","272","±184","2.7%","±1.9","308","±187","4.1%","±2.5","726","±222","5.7%","±1.7","592","±247","4.2%","±1.7","3,260","±917","6.2%","±1.7","760","±325","6.0%","±2.6","4,616","±755","7.6%","±1.2","278","±154","3.9%","±2.1","208","±106","2.3%","±1.2"
"                Different county","783","±271","7.9%","±2.7","446","±250","6.0%","±3.4","1,186","±354","9.2%","±2.8","1,127","±474","7.9%","±3.3","2,554","±538","4.8%","±1.0","543","±193","4.3%","±1.5","3,477","±636","5.7%","±1.1","760","±240","10.6%","±3.3","743","±305","8.2%","±3.4"
"                    Same state","635","±246","6.4%","±2.5","394","±249","5.3%","±3.3","995","±315","7.7%","±2.5","902","±447","6.4%","±3.1","1,795","±412","3.4%","±0.8","486","±191","3.8%","±1.5","2,846","±602","4.7%","±1.0","676","±221","9.5%","±3.1","458","±227","5.0%","±2.5"
"                    Different state","148","±131","1.5%","±1.3","52","±54","0.7%","±0.7","191","±132","1.5%","±1.0","225","±153","1.6%","±1.1","759","±380","1.4%","±0.7","57","±46","0.4%","±0.4","631","±246","1.0%","±0.4","84","±87","1.2%","±1.2","285","±206","3.1%","±2.3"
"            Abroad","46","±52","0.5%","±0.5","80","±95","1.1%","±1.3","68","±64","0.5%","±0.5","104","±71","0.7%","±0.5","366","±237","0.7%","±0.5","15","±24","0.1%","±0.2","669","±245","1.1%","±0.4","63","±77","0.9%","±1.1","376","±331","4.1%","±3.6"
"PLACE OF BIRTH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","10,145","±23","10,145","(X)","7,605","±24","7,605","(X)","12,972","±29","12,972","(X)","14,240","±35","14,240","(X)","53,214","±52","53,214","(X)","12,795","±32","12,795","(X)","61,158","±88","61,158","(X)","7,260","±19","7,260","(X)","9,146","±23","9,146","(X)"
"        Native","8,940","±289","88.1%","±2.8","6,758","±247","88.9%","±3.3","10,655","±426","82.1%","±3.3","12,304","±389","86.4%","±2.7","41,612","±915","78.2%","±1.7","11,952","±227","93.4%","±1.8","44,527","±1,013","72.8%","±1.7","6,181","±277","85.1%","±3.8","7,036","±513","76.9%","±5.6"
"            Born in United States","8,734","±292","86.1%","±2.9","6,609","±275","86.9%","±3.6","10,418","±425","80.3%","±3.3","11,837","±445","83.1%","±3.1","40,820","±894","76.7%","±1.7","11,707","±266","91.5%","±2.1","43,254","±1,028","70.7%","±1.7","6,033","±269","83.1%","±3.7","6,926","±542","75.7%","±5.9"
"                State of residence","5,196","±433","51.2%","±4.3","4,257","±353","56.0%","±4.6","5,719","±491","44.1%","±3.8","5,721","±473","40.2%","±3.3","28,254","±1,115","53.1%","±2.1","8,069","±480","63.1%","±3.7","29,369","±1,067","48.0%","±1.7","3,244","±433","44.7%","±6.0","3,801","±519","41.6%","±5.7"
"                Different state","3,538","±436","34.9%","±4.3","2,352","±354","30.9%","±4.7","4,699","±391","36.2%","±3.0","6,116","±516","42.9%","±3.6","12,566","±1,020","23.6%","±1.9","3,638","±423","28.4%","±3.3","13,885","±948","22.7%","±1.5","2,789","±428","38.4%","±5.9","3,125","±450","34.2%","±4.9"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","206","±145","2.0%","±1.4","149","±92","2.0%","±1.2","237","±145","1.8%","±1.1","467","±220","3.3%","±1.5","792","±279","1.5%","±0.5","245","±166","1.9%","±1.3","1,273","±323","2.1%","±0.5","148","±89","2.0%","±1.2","110","±106","1.2%","±1.2"
"        Foreign born","1,205","±289","11.9%","±2.8","847","±249","11.1%","±3.3","2,317","±426","17.9%","±3.3","1,936","±392","13.6%","±2.7","11,602","±906","21.8%","±1.7","843","±231","6.6%","±1.8","16,631","±1,013","27.2%","±1.7","1,079","±279","14.9%","±3.8","2,110","±510","23.1%","±5.6"
"U.S. CITIZENSHIP STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Foreign-born population","1,205","±289","1,205","(X)","847","±249","847","(X)","2,317","±426","2,317","(X)","1,936","±392","1,936","(X)","11,602","±906","11,602","(X)","843","±231","843","(X)","16,631","±1,013","16,631","(X)","1,079","±279","1,079","(X)","2,110","±510","2,110","(X)"
"        Naturalized U.S. citizen","772","±233","64.1%","±17.4","457","±151","54.0%","±15.2","1,244","±251","53.7%","±9.1","1,325","±302","68.4%","±10.9","6,367","±772","54.9%","±5.7","475","±171","56.3%","±12.9","5,919","±729","35.6%","±4.0","705","±210","65.3%","±10.5","1,204","±318","57.1%","±12.4"
"        Not a U.S. citizen","433","±258","35.9%","±17.4","390","±196","46.0%","±15.2","1,073","±335","46.3%","±9.1","611","±266","31.6%","±10.9","5,235","±828","45.1%","±5.7","368","±147","43.7%","±12.9","10,712","±979","64.4%","±4.0","374","±151","34.7%","±10.5","906","±394","42.9%","±12.4"
"YEAR OF ENTRY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population born outside the United States","1,411","±291","1,411","(X)","996","±277","996","(X)","2,554","±426","2,554","(X)","2,403","±448","2,403","(X)","12,394","±889","12,394","(X)","1,088","±266","1,088","(X)","17,904","±1,030","17,904","(X)","1,227","±272","1,227","(X)","2,220","±538","2,220","(X)"
"        Native","206","±145","206","(X)","149","±92","149","(X)","237","±145","237","(X)","467","±220","467","(X)","792","±279","792","(X)","245","±166","245","(X)","1,273","±323","1,273","(X)","148","±89","148","(X)","110","±106","110","(X)"
"            Entered 2010 or later","114","±137","55.3%","±42.2","34","±51","22.8%","±29.2","125","±127","52.7%","±33.2","103","±79","22.1%","±17.4","71","±53","9.0%","±6.0","30","±42","12.2%","±17.1","364","±208","28.6%","±13.7","36","±50","24.3%","±28.5","57","±65","51.8%","±27.2"
"            Entered before 2010","92","±72","44.7%","±42.2","115","±75","77.2%","±29.2","112","±69","47.3%","±33.2","364","±204","77.9%","±17.4","721","±261","91.0%","±6.0","215","±158","87.8%","±17.1","909","±256","71.4%","±13.7","112","±74","75.7%","±28.5","53","±55","48.2%","±27.2"
"        Foreign born","1,205","±289","1,205","(X)","847","±249","847","(X)","2,317","±426","2,317","(X)","1,936","±392","1,936","(X)","11,602","±906","11,602","(X)","843","±231","843","(X)","16,631","±1,013","16,631","(X)","1,079","±279","1,079","(X)","2,110","±510","2,110","(X)"
"            Entered 2010 or later","196","±220","16.3%","±16.6","195","±139","23.0%","±13.3","667","±282","28.8%","±10.0","472","±257","24.4%","±10.7","1,832","±644","15.8%","±4.9","241","±140","28.6%","±13.5","4,377","±738","26.3%","±4.1","185","±108","17.1%","±9.1","638","±366","30.2%","±13.6"
"            Entered before 2010","1,009","±244","83.7%","±16.6","652","±181","77.0%","±13.3","1,650","±342","71.2%","±10.0","1,464","±297","75.6%","±10.7","9,770","±724","84.2%","±4.9","602","±188","71.4%","±13.5","12,254","±1,004","73.7%","±4.1","894","±254","82.9%","±9.1","1,472","±365","69.8%","±13.6"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Foreign-born population, excluding population born at sea","1,205","±289","1,205","(X)","847","±249","847","(X)","2,317","±426","2,317","(X)","1,936","±392","1,936","(X)","11,602","±906","11,602","(X)","843","±231","843","(X)","16,631","±1,013","16,631","(X)","1,079","±279","1,079","(X)","2,110","±510","2,110","(X)"
"        Europe","399","±150","33.1%","±11.9","242","±105","28.6%","±12.4","727","±221","31.4%","±8.8","1,010","±325","52.2%","±10.6","2,000","±416","17.2%","±3.5","279","±132","33.1%","±14.4","2,588","±551","15.6%","±3.1","589","±199","54.6%","±12.2","775","±238","36.7%","±12.0"
"        Asia","326","±136","27.1%","±11.2","287","±162","33.9%","±16.5","708","±210","30.6%","±7.8","590","±200","30.5%","±9.4","2,711","±449","23.4%","±3.8","400","±161","47.4%","±16.5","2,977","±484","17.9%","±2.7","360","±171","33.4%","±12.5","490","±240","23.2%","±11.2"
"        Africa","0","±21","0.0%","±3.3","0","±19","0.0%","±4.6","42","±52","1.8%","±2.2","137","±94","7.1%","±4.5","244","±159","2.1%","±1.4","33","±54","3.9%","±6.0","565","±177","3.4%","±1.1","32","±34","3.0%","±3.1","125","±158","5.9%","±7.1"
"        Oceania","98","±87","8.1%","±7.1","0","±19","0.0%","±4.6","70","±92","3.0%","±3.9","0","±21","0.0%","±2.0","133","±78","1.1%","±0.7","4","±10","0.5%","±1.2","234","±180","1.4%","±1.1","30","±38","2.8%","±3.7","56","±53","2.7%","±2.5"
"        Latin America","312","±235","25.9%","±16.0","253","±190","29.9%","±18.4","733","±285","31.6%","±9.6","15","±21","0.8%","±1.1","6,084","±881","52.4%","±5.5","82","±107","9.7%","±11.7","9,774","±873","58.8%","±4.1","18","±22","1.7%","±2.1","585","±406","27.7%","±15.7"
"        Northern America","70","±91","5.8%","±7.4","65","±57","7.7%","±7.6","37","±30","1.6%","±1.3","184","±118","9.5%","±6.3","430","±192","3.7%","±1.7","45","±53","5.3%","±6.2","493","±194","3.0%","±1.1","50","±48","4.6%","±4.5","79","±72","3.7%","±3.4"
"LANGUAGE SPOKEN AT HOME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 5 years and over","9,502","±205","9,502","(X)","7,245","±155","7,245","(X)","12,354","±205","12,354","(X)","13,825","±166","13,825","(X)","50,897","±423","50,897","(X)","12,091","±196","12,091","(X)","58,355","±399","58,355","(X)","7,018","±122","7,018","(X)","8,817","±165","8,817","(X)"
"        English only","8,191","±397","86.2%","±3.9","6,339","±335","87.5%","±4.1","10,031","±439","81.2%","±3.6","12,101","±435","87.5%","±2.8","37,267","±1,340","73.2%","±2.6","11,389","±298","94.2%","±1.9","37,756","±1,124","64.7%","±1.8","6,257","±277","89.2%","±3.3","6,677","±546","75.7%","±5.9"
"        Language other than English","1,311","±378","13.8%","±3.9","906","±297","12.5%","±4.1","2,323","±456","18.8%","±3.6","1,724","±385","12.5%","±2.8","13,630","±1,313","26.8%","±2.6","702","±229","5.8%","±1.9","20,599","±1,038","35.3%","±1.8","761","±226","10.8%","±3.3","2,140","±519","24.3%","±5.9"
"            Speak English less than ""very well""","245","±127","2.6%","±1.3","273","±197","3.8%","±2.7","808","±282","6.5%","±2.3","326","±203","2.4%","±1.5","5,577","±860","11.0%","±1.7","177","±123","1.5%","±1.0","10,216","±852","17.5%","±1.5","149","±107","2.1%","±1.5","440","±250","5.0%","±2.8"
"        Spanish","410","±260","4.3%","±2.7","526","±253","7.3%","±3.5","847","±294","6.9%","±2.4","177","±116","1.3%","±0.8","8,374","±1,232","16.5%","±2.4","118","±79","1.0%","±0.6","14,600","±968","25.0%","±1.7","98","±88","1.4%","±1.3","304","±163","3.4%","±1.9"
"            Speak English less than ""very well""","25","±39","0.3%","±0.4","198","±182","2.7%","±2.5","354","±187","2.9%","±1.5","21","±34","0.2%","±0.2","3,513","±679","6.9%","±1.3","7","±11","0.1%","±0.1","8,263","±810","14.2%","±1.4","10","±18","0.1%","±0.3","32","±41","0.4%","±0.5"
"        Other Indo-European languages","543","±289","5.7%","±3.0","205","±114","2.8%","±1.6","973","±304","7.9%","±2.4","1,235","±337","8.9%","±2.4","2,877","±626","5.7%","±1.2","304","±171","2.5%","±1.4","3,058","±584","5.2%","±1.0","460","±180","6.6%","±2.6","1,423","±518","16.1%","±5.9"
"            Speak English less than ""very well""","116","±114","1.2%","±1.2","0","±19","0.0%","±0.5","259","±204","2.1%","±1.7","236","±212","1.7%","±1.5","856","±386","1.7%","±0.8","51","±62","0.4%","±0.5","734","±287","1.3%","±0.5","113","±101","1.6%","±1.4","289","±227","3.3%","±2.6"
"        Asian and Pacific Islander languages","281","±160","3.0%","±1.7","104","±95","1.4%","±1.3","372","±159","3.0%","±1.3","295","±156","2.1%","±1.1","1,943","±466","3.8%","±0.9","241","±145","2.0%","±1.2","2,183","±442","3.7%","±0.8","139","±101","2.0%","±1.4","398","±251","4.5%","±2.9"
"            Speak English less than ""very well""","104","±80","1.1%","±0.8","75","±96","1.0%","±1.3","156","±93","1.3%","±0.8","69","±53","0.5%","±0.4","1,016","±331","2.0%","±0.7","119","±108","1.0%","±0.9","1,004","±272","1.7%","±0.5","10","±16","0.1%","±0.2","119","±101","1.3%","±1.1"
"        Other languages","77","±120","0.8%","±1.3","71","±90","1.0%","±1.2","131","±116","1.1%","±0.9","17","±30","0.1%","±0.2","436","±310","0.9%","±0.6","39","±62","0.3%","±0.5","758","±256","1.3%","±0.4","64","±63","0.9%","±0.9","15","±24","0.2%","±0.3"
"            Speak English less than ""very well""","0","±21","0.0%","±0.4","0","±19","0.0%","±0.5","39","±44","0.3%","±0.4","0","±21","0.0%","±0.3","192","±209","0.4%","±0.4","0","±21","0.0%","±0.3","215","±131","0.4%","±0.2","16","±22","0.2%","±0.3","0","±19","0.0%","±0.5"
"ANCESTRY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        American","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Arab","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Czech","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Danish","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Dutch","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        English","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        French (except Basque)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        French Canadian","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        German","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Greek","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Hungarian","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Irish","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Italian","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Lithuanian","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Norwegian","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Polish","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Portuguese","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Russian","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Scotch-Irish","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Scottish","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Slovak","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Subsaharan African","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Swedish","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Swiss","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Ukrainian","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Welsh","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        West Indian (excluding Hispanic origin groups)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"COMPUTERS AND INTERNET USE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total households","3,930","±215","3,930","(X)","3,410","±184","3,410","(X)","6,213","±331","6,213","(X)","5,622","±309","5,622","(X)","20,682","±566","20,682","(X)","4,995","±292","4,995","(X)","23,816","±710","23,816","(X)","4,117","±262","4,117","(X)","3,515","±255","3,515","(X)"
"        With a computer","3,858","±221","98.2%","±1.6","3,317","±177","97.3%","±1.7","6,053","±339","97.4%","±1.4","5,465","±309","97.2%","±1.5","19,699","±568","95.2%","±1.5","4,895","±300","98.0%","±1.3","23,011","±708","96.6%","±0.9","4,056","±257","98.5%","±1.3","3,479","±268","99.0%","±1.2"
"        With a broadband Internet subscription","3,773","±214","96.0%","±2.7","3,204","±202","94.0%","±3.7","5,932","±325","95.5%","±1.7","5,338","±311","94.9%","±2.0","19,140","±597","92.5%","±1.7","4,853","±299","97.2%","±1.7","22,032","±688","92.5%","±1.4","3,841","±252","93.3%","±3.2","3,432","±267","97.6%","±1.9"
