"Label (Grouping)","Milpitas city, California!!Estimate","Milpitas city, California!!Margin of Error","Milpitas city, California!!Percent","Milpitas city, California!!Percent Margin of Error","Mountain View city, California!!Estimate","Mountain View city, California!!Margin of Error","Mountain View city, California!!Percent","Mountain View city, California!!Percent Margin of Error","Palo Alto city, California!!Estimate","Palo Alto city, California!!Margin of Error","Palo Alto city, California!!Percent","Palo Alto city, California!!Percent Margin of Error","San Jose city, California!!Estimate","San Jose city, California!!Margin of Error","San Jose city, California!!Percent","San Jose city, California!!Percent Margin of Error","Santa Clara city, California!!Estimate","Santa Clara city, California!!Margin of Error","Santa Clara city, California!!Percent","Santa Clara city, California!!Percent Margin of Error","Sunnyvale city, California!!Estimate","Sunnyvale city, California!!Margin of Error","Sunnyvale city, California!!Percent","Sunnyvale city, California!!Percent Margin of Error"
"        English only","25,381","±3,234","34.3%","±4.2","40,862","±4,123","53.4%","±5.3","36,972","±3,074","57.8%","±4.9","390,431","±10,608","41.9%","±1.1","53,594","±5,140","44.8%","±4.1","54,527","±4,813","38.3%","±3.3"
"        Language other than English","48,665","±2,975","65.7%","±4.2","35,625","±4,041","46.6%","±5.3","26,956","±3,276","42.2%","±4.9","542,333","±10,215","58.1%","±1.1","66,025","±4,808","55.2%","±4.1","87,914","±4,745","61.7%","±3.3"
"            Speak English less than ""very well""","18,545","±1,746","25.0%","±2.3","11,552","±2,374","15.1%","±3.1","8,134","±2,472","12.7%","±3.8","226,038","±7,672","24.2%","±0.8","19,982","±3,803","16.7%","±3.2","27,282","±2,802","19.2%","±2.0"
"        Spanish","7,271","±2,347","9.8%","±3.2","10,295","±3,694","13.5%","±4.8","6,331","±3,814","9.9%","±5.9","205,564","±8,728","22.0%","±1.0","8,033","±2,651","6.7%","±2.2","18,670","±3,956","13.1%","±2.8"
"            Speak English less than ""very well""","2,263","±1,134","3.1%","±1.5","3,628","±1,641","4.7%","±2.1","2,404","±2,371","3.8%","±3.7","79,300","±6,622","8.5%","±0.7","2,022","±1,288","1.7%","±1.1","6,894","±1,450","4.8%","±1.0"
"        Other Indo-European languages","10,770","±2,271","14.5%","±3.1","9,788","±2,254","12.8%","±3.0","5,038","±1,511","7.9%","±2.4","71,764","±6,013","7.7%","±0.6","19,363","±3,582","16.2%","±3.0","23,505","±4,412","16.5%","±3.1"
"            Speak English less than ""very well""","1,777","±772","2.4%","±1.1","2,162","±1,128","2.8%","±1.5","1,174","±654","1.8%","±1.0","17,069","±3,278","1.8%","±0.4","4,822","±2,000","4.0%","±1.7","4,582","±1,946","3.2%","±1.4"
"        Asian and Pacific Islander languages","30,115","±3,097","40.7%","±4.2","14,609","±2,672","19.1%","±3.5","15,006","±2,646","23.5%","±4.2","251,346","±8,200","26.9%","±0.9","34,691","±3,893","29.0%","±3.3","43,545","±4,229","30.6%","±3.0"
"            Speak English less than ""very well""","14,411","±1,917","19.5%","±2.5","5,701","±1,645","7.5%","±2.1","4,446","±1,177","7.0%","±1.8","125,220","±5,365","13.4%","±0.6","11,617","±2,238","9.7%","±1.9","15,626","±2,215","11.0%","±1.5"
"        Other languages","509","±421","0.7%","±0.6","933","±685","1.2%","±0.9","581","±415","0.9%","±0.6","13,659","±3,065","1.5%","±0.3","3,938","±2,066","3.3%","±1.7","2,194","±1,431","1.5%","±1.0"
"            Speak English less than ""very well""","94","±156","0.1%","±0.2","61","±102","0.1%","±0.1","110","±180","0.2%","±0.3","4,449","±1,453","0.5%","±0.2","1,521","±1,169","1.3%","±1.0","180","±230","0.1%","±0.2"
"ANCESTRY","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","N","N","N","N","81,517","±31","81,517","(X)","66,666","±51","66,666","(X)","983,530","±135","983,530","(X)","127,155","±38","127,155","(X)","152,258","±37","152,258","(X)"
"        American","N","N","N","N","3,856","±2,401","4.7%","±2.9","818","±417","1.2%","±0.6","14,906","±2,847","1.5%","±0.3","3,798","±2,320","3.0%","±1.8","3,666","±2,184","2.4%","±1.4"
"        Arab","N","N","N","N","196","±189","0.2%","±0.2","280","±364","0.4%","±0.5","6,092","±2,168","0.6%","±0.2","1,615","±1,133","1.3%","±0.9","445","±295","0.3%","±0.2"
"        Czech","N","N","N","N","148","±143","0.2%","±0.2","616","±500","0.9%","±0.7","2,191","±1,245","0.2%","±0.1","0","±218","0.0%","±0.2","73","±121","0.0%","±0.1"
"        Danish","N","N","N","N","500","±472","0.6%","±0.6","737","±443","1.1%","±0.7","2,807","±1,003","0.3%","±0.1","291","±295","0.2%","±0.2","315","±321","0.2%","±0.2"
"        Dutch","N","N","N","N","830","±469","1.0%","±0.6","173","±152","0.3%","±0.2","3,682","±1,146","0.4%","±0.1","626","±598","0.5%","±0.5","834","±487","0.5%","±0.3"
"        English","N","N","N","N","4,999","±1,475","6.1%","±1.8","6,760","±2,010","10.1%","±3.0","44,257","±4,116","4.5%","±0.4","5,349","±1,524","4.2%","±1.2","6,210","±1,714","4.1%","±1.1"
"        French (except Basque)","N","N","N","N","1,509","±968","1.9%","±1.2","1,368","±741","2.1%","±1.1","9,506","±1,790","1.0%","±0.2","1,936","±910","1.5%","±0.7","2,567","±1,328","1.7%","±0.9"
"        French Canadian","N","N","N","N","808","±901","1.0%","±1.1","262","±282","0.4%","±0.4","1,879","±770","0.2%","±0.1","100","±116","0.1%","±0.1","329","±313","0.2%","±0.2"
"        German","N","N","N","N","4,419","±1,037","5.4%","±1.3","5,885","±1,424","8.8%","±2.1","43,519","±4,028","4.4%","±0.4","5,698","±1,483","4.5%","±1.2","8,954","±2,035","5.9%","±1.3"
"        Greek","N","N","N","N","266","±262","0.3%","±0.3","0","±218","0.0%","±0.3","2,004","±961","0.2%","±0.1","843","±815","0.7%","±0.6","44","±71","0.0%","±0.1"
"        Hungarian","N","N","N","N","76","±126","0.1%","±0.2","660","±509","1.0%","±0.8","1,788","±1,094","0.2%","±0.1","0","±218","0.0%","±0.2","597","±510","0.4%","±0.3"
"        Irish","N","N","N","N","4,958","±1,251","6.1%","±1.5","4,145","±1,273","6.2%","±1.9","38,519","±3,757","3.9%","±0.4","5,633","±1,549","4.4%","±1.2","8,429","±1,973","5.5%","±1.3"
"        Italian","N","N","N","N","2,529","±1,037","3.1%","±1.3","2,329","±1,176","3.5%","±1.8","25,774","±3,029","2.6%","±0.3","2,836","±1,000","2.2%","±0.8","4,185","±1,876","2.7%","±1.2"
"        Lithuanian","N","N","N","N","591","±707","0.7%","±0.9","197","±223","0.3%","±0.3","458","±333","0.0%","±0.1","0","±218","0.0%","±0.2","88","±147","0.1%","±0.1"
"        Norwegian","N","N","N","N","185","±192","0.2%","±0.2","914","±504","1.4%","±0.8","5,093","±1,551","0.5%","±0.2","477","±385","0.4%","±0.3","541","±408","0.4%","±0.3"
"        Polish","N","N","N","N","1,494","±753","1.8%","±0.9","1,195","±528","1.8%","±0.8","6,724","±1,400","0.7%","±0.1","2,329","±1,080","1.8%","±0.8","1,123","±552","0.7%","±0.4"
"        Portuguese","N","N","N","N","98","±127","0.1%","±0.2","466","±366","0.7%","±0.5","10,441","±2,215","1.1%","±0.2","5,094","±2,450","4.0%","±1.9","1,307","±658","0.9%","±0.4"
"        Russian","N","N","N","N","1,570","±764","1.9%","±0.9","1,345","±517","2.0%","±0.8","5,754","±1,505","0.6%","±0.2","1,238","±707","1.0%","±0.6","2,632","±1,100","1.7%","±0.7"
"        Scotch-Irish","N","N","N","N","521","±296","0.6%","±0.4","118","±118","0.2%","±0.2","3,386","±1,228","0.3%","±0.1","80","±132","0.1%","±0.1","152","±153","0.1%","±0.1"
"        Scottish","N","N","N","N","712","±402","0.9%","±0.5","1,383","±533","2.1%","±0.8","8,083","±1,627","0.8%","±0.2","1,070","±581","0.8%","±0.5","496","±291","0.3%","±0.2"
"        Slovak","N","N","N","N","0","±218","0.0%","±0.2","378","±421","0.6%","±0.6","331","±209","0.0%","±0.1","108","±128","0.1%","±0.1","0","±218","0.0%","±0.1"
"        Subsaharan African","N","N","N","N","1,403","±1,643","1.7%","±2.0","148","±133","0.2%","±0.2","9,897","±2,683","1.0%","±0.3","2,574","±1,652","2.0%","±1.3","669","±608","0.4%","±0.4"
"        Swedish","N","N","N","N","444","±293","0.5%","±0.4","1,344","±691","2.0%","±1.0","6,412","±1,389","0.7%","±0.1","993","±445","0.8%","±0.4","1,440","±1,057","0.9%","±0.7"
"        Swiss","N","N","N","N","434","±345","0.5%","±0.4","469","±433","0.7%","±0.6","1,886","±789","0.2%","±0.1","120","±140","0.1%","±0.1","302","±203","0.2%","±0.1"
"        Ukrainian","N","N","N","N","242","±228","0.3%","±0.3","544","±349","0.8%","±0.5","2,466","±1,157","0.3%","±0.1","484","±484","0.4%","±0.4","377","±402","0.2%","±0.3"
"        Welsh","N","N","N","N","200","±201","0.2%","±0.2","311","±247","0.5%","±0.4","1,602","±582","0.2%","±0.1","132","±124","0.1%","±0.1","660","±452","0.4%","±0.3"
"        West Indian (excluding Hispanic origin groups)","N","N","N","N","146","±141","0.2%","±0.2","48","±86","0.1%","±0.1","1,245","±706","0.1%","±0.1","146","±159","0.1%","±0.1","263","±274","0.2%","±0.2"
"COMPUTERS AND INTERNET USE","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total households","23,632","±968","23,632","(X)","34,637","±1,610","34,637","(X)","24,501","±1,572","24,501","(X)","322,881","±4,593","322,881","(X)","49,011","±2,041","49,011","(X)","59,567","±2,373","59,567","(X)"
"        With a computer","23,304","±972","98.6%","±1.1","33,319","±1,504","96.2%","±2.0","23,979","±1,522","97.9%","±1.5","315,545","±4,586","97.7%","±0.5","48,064","±2,003","98.1%","±1.0","58,966","±2,391","99.0%","±0.5"
"        With a broadband Internet subscription","22,881","±908","96.8%","±1.5","33,243","±1,484","96.0%","±2.0","23,457","±1,548","95.7%","±2.1","309,705","±4,809","95.9%","±0.6","46,761","±1,972","95.4%","±1.7","56,964","±2,483","95.6%","±1.6"
